DIC Bottle Number,ID,Date,DIC (umol/kg),DIC QC,Salinity from DIC,TA (umol/kg),TA QC,Notes
1,M4,3/9/2017,1920.6,2,29.2,2016.1,2,
2,M10,3/9/2017,2024.3,2,29.2,2012.7,2,
3,M3,3/16/2017,2003.1,2,28.52,1981.3,2,
4,M9,3/16/2017,1963.5,2,28.52,1979.4,2,
5,M2,3/24/2017,2002.0,2,28.8,1993.3,2,
6,M11,3/24/2017,1943.6,2,28.8,1992.8,2,
7,M5,3/31/2017,1850.9,2,27.7,1938.0,2,
8,M7,3/31/2017,1914.2,2,27.7,1936.5,2,
9,M1,4/16/2017,1975.5,2,27.86,1968.7,2,
10,M12,4/16/2017,1930.9,2,27.86,1967.2,2,
11,M6,4/25/2017,1992.4,2,28.63,1975.7,2,
12,M8,4/25/2017,1882.1,2,28.63,1972.2,2,
13,M6,5/3/2017,1993.1,2,28.49,1977.2,2,
14,M13,5/3/2017,1946.0,2,28.49,1971.9,2,
15,M2,5/24/2017,1961.1,2,28.47,1955.5,2,
16,M3,5/24/2017,2003.4,2,28.47,1958.3,2,
17,M2,6/3/2017,1962.5,2,28.61,1950.5,2,
18,M10,6/3/2017,1949.2,2,28.61,1952.5,2,
19,M8,6/9/2017,1859.6,2,28.42,1956.2,2,
20,M13,6/9/2017,1971.7,2,28.42,1958.4,2,
21,M5,6/23/2017,1857.9,2,28.41,1978.3,2,
22,M11,6/23/2017,1922.8,2,28.41,1977.3,2,
23,M6,7/7/2017,2005.3,2,29.15,1992.1,2,
24,M7,7/7/2017,2003.4,2,29.15,1990.8,2,
25,M8,7/23/2017,1861.5,2,29.01,1982.8,2,
26,M9,7/23/2017,1997.3,2,29.01,1981.8,2,
27,M10,8/1/2017,1970.5,2,29.45,2019.5,2,
28,M11,8/1/2017,1998.5,2,29.45,2019.3,2,
29,M2,8/10/2017,2046.5,2,29.6,2016.4,2,
30,M3,8/10/2017,2025.2,2,29.6,2013.1,2,
31,M4,8/22/2017,2005.9,2,29.9,2029.3,2,
32,M8,8/22/2017,1924.5,2,29.9,2029.8,2,
33,M4,9/7/2017,2011.8,2,29.96,2036.5,2,
34,M10,9/7/2017,1998.7,2,29.96,2040.4,2,
