DIC Bottle Number,ID,Date,DIC (umol/kg),DIC QC,Salinity from DIC,TA (umol/kg),TA QC,Notes
M06,,11/29/2016,1950.9,2,29.61,2034.9,2,
M10,,11/29/2016,2034.8,2,29.61,2035.5,2,
,,,,,,,,
M03,,7/13/2016,2078.5,2,29.93,2022.5,2,
M03,,9/8/2016,2075.2,2,30.2,2055.4,2,
M06,,7/5/2016,2070.6,2,29.84,2024.5,2,
M06,,8/2/2016,2071.3,2,29.95,2036.1,2,
M10,,6/9/2016,1925.7,2,29.42,2003.4,2,
M10,,7/21/2016,1935,2,29.78,2022,2,
M12,,8/16/2016,1973.1,2,29.88,2043.3,2,
M13,,6/9/2016,2056.4,2,29.42,2003.6,2,
,,,,,,,,
M09,,4/8/2016,2000.2,2,28.35,1972.8,2,
M10,,4/8/2016,1912.9,2,28.35,1967.8,2,
,,,,,,,,
M03,,3/10/2016,1881.5,2,28.5,1961.4,2,
M11,,3/10/2016,1990.4,2,28.5,1960.5,2,
M11,,3/26/2016,2024.6,2,28.5,1981,2,
,,,,,,,,
M01,,7/2/2015,2084.1,2,29.85,2045.2,2,
M07,,9/2/2015,1949.3,2,29.85,2086.4,2,
M09,,8/19/2015,2120.5,2,29.85,2078.5,2,
M09,,9/2/2015,2123.9,2,29.85,2079.4,2,
M12,,7/2/2015,1937.8,2,29.85,2048.3,2,
